,timestamp,open,high,low,close,volume_base,volume,volume_quote,time,sma1,sma2,sma3,sma4,val,up,down,compra,venda,compra_price,venda_price,avgCandleSize,volumeThreshold11,bullElephantBar,bearElephantBar,compra_price_elephant,venda_price_elephant
98,1743177900000,130.07,130.07,130.0,130.05,354.7132,46124.982937,46124.982937,28-03-2025 16:05:00,130.025,130.09499999999997,130.001,,130.0475,False,True,False,True,,130.05,,,False,False,,
99,1743177960000,130.05,130.16,130.0,130.08,651.2582,84722.968801,84722.968801,28-03-2025 16:06:00,130.03,130.091,130.01525,,130.07250000000002,True,False,False,False,,,,,False,False,,
100,1743178020000,130.08,130.13,130.0,130.13,128.6707,16732.797821,16732.797821,28-03-2025 16:07:00,130.055,130.089,130.029,,130.085,True,False,False,False,,,,,False,False,,
101,1743178080000,130.13,130.14,129.93,129.93,614.9687,79952.403627,79952.403627,28-03-2025 16:08:00,130.04375,130.07350000000002,130.041,,130.0325,False,True,False,True,,129.93,,,False,False,,
102,1743178140000,129.93,129.93,129.51,129.55,1138.8497,147658.960837,147658.960837,28-03-2025 16:09:00,129.99625,130.035,130.04175,,129.73000000000002,False,True,False,False,,,,,False,False,,
103,1743178200000,129.55,129.59,129.52,129.56,502.1597,65050.353024,65050.353024,28-03-2025 16:10:00,129.9375,130.006,130.04425,,129.555,False,True,False,False,,,,,False,False,,
104,1743178260000,129.56,129.62,129.56,129.61,1521.5491,197188.863858,197188.863858,28-03-2025 16:11:00,129.8725,129.975,130.04125,,129.5875,True,False,False,False,,,,,False,False,,
105,1743178320000,129.61,129.62,129.42,129.48,2305.9929,298636.598114,298636.598114,28-03-2025 16:12:00,129.79875,129.943,130.02975,,129.5325,False,True,False,True,,129.48,,,False,False,,
106,1743178380000,129.48,129.53,129.45,129.46,767.6696,99397.21087,99397.21087,28-03-2025 16:13:00,129.725,129.91,130.01425,,129.48,False,True,False,False,,,,,False,False,,
107,1743178440000,129.46,129.46,129.3,129.38,816.9978,105694.822206,105694.822206,28-03-2025 16:14:00,129.63750000000002,129.875,130.00175,,129.4,False,True,False,False,,,,,False,False,,
108,1743178500000,129.38,129.5,129.37,129.39,566.206,73303.550059,73303.550059,28-03-2025 16:15:00,129.545,129.83599999999998,129.98575,,129.41,True,False,False,False,,,,,False,False,,
109,1743178560000,129.39,129.42,129.21,129.22,708.5995,91637.952466,91637.952466,28-03-2025 16:16:00,129.45625,129.7955,129.96325,,129.31,False,True,False,True,,129.22,,,False,False,,
110,1743178620000,129.22,129.25,129.02,129.21,533.7356,68942.723486,68942.723486,28-03-2025 16:17:00,129.41375,129.76,129.94075,,129.175,False,True,False,False,,,,,False,False,,
111,1743178680000,129.21,129.57,129.19,129.5,538.3443,69659.85849,69659.85849,28-03-2025 16:18:00,129.40625,129.733,129.925,,129.3675,True,False,False,False,,,,,False,False,,
